cliente_id,membresia_id
C00000001,MEM0000003
C00000002,MEM0000001
C00000003,MEM0000004
C00000004,MEM0000002
C00000005,MEM0000003
C00000006,MEM0000004
C00000007,MEM0000001
C00000008,MEM0000004
C00000009,MEM0000003
C00000010,MEM0000003
C00000011,MEM0000001
C00000012,MEM0000001
C00000013,MEM0000001
C00000014,MEM0000001
C00000015,MEM0000001
C00000016,MEM0000001
C00000017,MEM0000002
C00000018,MEM0000003
C00000019,MEM0000001
C00000020,MEM0000004
C00000021,MEM0000001
C00000022,MEM0000002
C00000023,MEM0000004
C00000024,MEM0000003
C00000025,MEM0000003
C00000026,MEM0000001
C00000027,MEM0000001
C00000028,MEM0000002
C00000029,MEM0000003
C00000030,MEM0000001
C00000031,MEM0000004
C00000032,MEM0000003
C00000033,MEM0000004
C00000034,MEM0000001
C00000035,MEM0000001
C00000036,MEM0000002
C00000037,MEM0000004
C00000038,MEM0000003
C00000039,MEM0000003
C00000040,MEM0000002
C00000041,MEM0000004
C00000042,MEM0000004
C00000043,MEM0000001
C00000044,MEM0000004
C00000045,MEM0000002
C00000046,MEM0000001
C00000047,MEM0000001
C00000048,MEM0000001
C00000049,MEM0000002
C00000050,MEM0000004
C00000051,MEM0000001
C00000052,MEM0000004
C00000053,MEM0000004
C00000054,MEM0000002
C00000055,MEM0000001
C00000056,MEM0000003
C00000057,MEM0000004
C00000058,MEM0000003
C00000059,MEM0000001
C00000060,MEM0000003
C00000061,MEM0000004
C00000062,MEM0000002
C00000063,MEM0000001
C00000064,MEM0000001
C00000065,MEM0000004
C00000066,MEM0000001
C00000067,MEM0000003
C00000068,MEM0000001
C00000069,MEM0000002
C00000070,MEM0000003
C00000071,MEM0000001
C00000072,MEM0000001
C00000073,MEM0000002
C00000074,MEM0000001
C00000075,MEM0000001
C00000076,MEM0000002
C00000077,MEM0000003
C00000078,MEM0000004
C00000079,MEM0000002
C00000080,MEM0000001
C00000081,MEM0000004
C00000082,MEM0000002
C00000083,MEM0000004
C00000084,MEM0000001
